reference_id,speciment_id,reviewer,comp_type,test_type,gm_record,peak_test_amplitude,location,design_objective,comp_description,ds_description,proir_damage,is_repaired,ds_intensity,ds_intensity_unit,ds_intensity_alt,ds_intensity_unit_alt,ds_rank,notes
LEE-2007-SEI,Specimen No.1 ,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Crushing of gypsum board at a corner.,No prior damage,,0.015,drift,,,,
LEE-2007-SEI,Specimen No.1 ,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Joint cracks at vertical intersection of gypsum boards,No prior damage,,0.02,drift,,,,
LEE-2007-SEI,Specimen No.1 ,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Out of plane deformation of gypsum boards at upper corners,No prior damage,,0.04,drift,,,,
LEE-2007-SEI,Specimen No.1 ,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. Clearance at the vertical ends of the drywall partition, 15 mm.",Cracks in gypsum board,No prior damage,,0.1,drift,,,,
LEE-2007-SEI,Specimen No.2,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Small diagonal gypsum cracks in corners above door,No prior damage,,0.005,drift,,,,
LEE-2007-SEI,Specimen No.2,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Crushing of gypsum board at a corner.,No prior damage,,0.01,drift,,,,
LEE-2007-SEI,Specimen No.2,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Large vertical cracks in gypsum board above door,No prior damage,,0.01,drift,,,,
LEE-2007-SEI,Specimen No.2,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Temoorary dorr jammed and recovered after reaching original position,No prior damage,,0.01,drift,,,,
LEE-2007-SEI,Specimen No.2,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",broken door lock and permanent jammed door,No prior damage,,0.02,drift,,,,
LEE-2007-SEI,Specimen No.2,Eric/Jitendra,Internal partition walls,Quasi-Static reverse cyclic loading,No standard protocol mentioned.  Two cycles of each amplitude up to 0.1 radians peak amplitude (10% drift),10% drift,Japan,characterize the seismic performance of the drywall partitions typically used in Japanese building constructions,"1. Full-scale (2800 mm x 3950 mm) drywall partitions with light steel studding and with a door (850mm×2100mm)
2. Studs not bolted/screwed to  runners/tracks
3. Two layers of gypsum boards (12.5 mm thick): inner board, horizontally placed, screwed to studs and outer board , verticaly placed, glued and stapled to inner board
4. stud spacing = 450 mm  (17 inches)
5. Joints of outer board sealed with joint compound
6. two vertical channels are used to support the door frame.Unlike studs, these channels are securely fixed to runners by screws
7. Clearance at the vertical ends of the drywall partition, 15 mm.
8. Clearance between door and door frame, 2-3 mm.",Out of plane deformation of gypsum board at lower interior corner next to door,No prior damage,,0.04,drift,,,,
